Zip;Mean;Pop
11553;81.499;23.540
11554;98.759;37.455
11556;83.012;13
11557;154.469;8.053
11558;100.774;8.553
11559;152.353;8.100
11560;180.640;6.812
11561;104.804;39.648
11563;99.384;23.227
11565;126.076;9.088
11566;136.669;35.616
11568;350.580;3.995
11569;160.280;1.502
11570;144.506;27.303
11572;111.623;31.236
11575;79.363;15.785
11576;235.579;12.885
11577;163.809;11.274
11579;127.227;5.148
11580;97.786;37.887
11581;104.291;20.192
11590;101.422;42.593
11596;133.563;10.492
11598;180.670;13.170
11691;51.204;54.005
11692;53.664;15.850
11693;65.333;11.120
11694;89.575;19.299
11697;101.500;4.206
11701;81.012;25.654
11702;116.529;15.125
11703;90.997;16.656
11704;87.882;40.355
11705;101.901;8.237
11706;88.722;59.946
11709;116.289;7.134
11710;121.846;34.790
11713;93.247;8.743
11714;107.529;22.950
11715;98.329;4.591
11716;106.568;10.434
11717;79.046;51.889
11718;140.354;3.248
11719;92.651;3.337
11720;101.569;27.633
11721;128.461;6.254
11722;77.957;32.268
11724;199.746;3.109
11725;124.879;29.570
11726;80.680;18.376
11727;93.184;26.192
11729;87.395;27.852
11730;126.756;14.798
11731;115.414;30.489
11732;147.944;3.539
11733;153.052;17.976
11735;103.543;32.358
11738;93.652;17.439
11739;183.585;1.256
11740;115.901;9.227
11741;102.911;28.352
11742;97.119;11.697
11743;162.374;41.964
11746;128.444;63.286
11747;146.664;16.103
11749;91.445;3.047
11751;99.027;15.107
11752;97.839;10.013
11753;185.686;11.670
11754;106.378;18.983
11755;106.684;11.333
11756;103.559;44.007
11757;94.304;46.552
11758;119.731;56.207
11762;123.073;23.056
11763;91.628;24.866
11764;126.438;11.116
11765;285.080;567
11766;130.622;9.613
11767;116.834;13.725
11768;156.116;22.039
11769;101.549;9.727
11770;128.906;161
11771;182.848;10.076
11772;75.767;42.071
11776;97.878;22.269
11777;130.958;9.054
11778;86.453;11.738
11779;95.608;38.425
11780;130.940;15.422
11782;109.007;15.721
11783;117.033;22.063
11784;82.513;25.049
11786;122.638;5.933
11787;130.813;34.277
11788;113.160;16.528
11789;95.045;7.345
11790;121.840;17.609
11791;181.354;24.735
11792;111.925;7.511
11793;121.682;32.494
11794;51.568;3.200
11795;118.972;27.089
11796;97.094;3.865
11797;190.163;9.111
11798;75.149;14.796
